,Year,Month,Day
344,2020,11,10
347,2020,11,26
348,2020,11,27
349,2020,11,28
351,2020,9,3
353,2020,9,11
356,2020,9,25
367,2020,6,14
373,2020,5,10
375,2020,5,17
376,2020,5,22
378,2020,5,28
379,2020,4,13
380,2020,4,21
381,2020,4,23
384,2020,3,7
386,2020,3,27
388,2020,2,19
405,2022,11,4
414,2022,11,24
415,2022,11,28
419,2022,10,3
421,2022,10,6
423,2022,10,10
424,2022,10,12
428,2022,9,13
431,2022,9,24
434,2022,8,3
443,2022,7,29
455,2022,4,19
458,2022,4,25
468,2022,3,28
478,2022,1,30
480,2021,12,17
484,2021,11,1
489,2021,11,21
493,2021,10,10
495,2021,10,23
499,2021,9,19
500,2021,9,21
501,2021,9,27
507,2021,8,14
519,2021,6,2
521,2021,6,22
524,2021,5,4
529,2021,5,19
531,2021,5,22
535,2021,4,6
541,2021,4,28
542,2021,4,30
570,2020,10,25
578,2020,9,30
581,2020,7,4
585,2020,7,25
590,2020,6,12
594,2020,6,22
601,2020,5,23
609,2020,3,22
613,2020,1,12
616,2023,2,2
618,2023,2,17
619,2023,2,18
620,2023,2,19
621,2023,2,20
622,2023,2,21
623,2023,2,27
625,2023,1,2
626,2023,1,3
628,2023,1,16
633,2022,12,3
634,2022,12,5
635,2022,12,6
636,2022,12,7
637,2022,12,8
638,2022,12,10
640,2022,12,15
642,2022,12,21
643,2022,12,23
644,2022,12,27
645,2022,12,28
646,2022,12,31
650,2022,11,17
651,2022,11,19
653,2022,11,25
654,2022,11,27
655,2022,10,1
658,2022,10,4
662,2022,10,8
663,2022,10,9
665,2022,10,11
667,2022,10,13
668,2022,10,14
669,2022,10,15
672,2022,10,18
673,2022,10,19
674,2022,10,20
676,2022,10,22
677,2022,10,23
678,2022,10,24
681,2022,9,1
682,2022,9,2
683,2022,9,3
684,2022,9,4
685,2022,9,5
686,2022,9,6
687,2022,9,7
688,2022,9,8
689,2022,9,9
690,2022,9,10
691,2022,9,11
692,2022,9,12
694,2022,9,14
695,2022,9,15
696,2022,9,16
697,2022,9,17
699,2022,9,19
701,2022,9,21
703,2022,9,23
706,2022,9,26
707,2022,9,27
708,2022,9,28
710,2022,9,30
711,2022,8,1
712,2022,8,2
714,2022,8,4
715,2022,8,5
716,2022,8,6
717,2022,8,7
718,2022,8,8
719,2022,8,9
720,2022,8,10
721,2022,8,11
722,2022,8,12
724,2022,8,14
725,2022,8,15
727,2022,8,17
728,2022,8,18
729,2022,8,19
732,2022,8,22
734,2022,8,24
735,2022,8,25
736,2022,8,26
738,2022,8,28
740,2022,8,30
741,2022,8,31
742,2022,7,1
743,2022,7,2
744,2022,7,3
745,2022,7,4
746,2022,7,5
747,2022,7,6
748,2022,7,7
750,2022,7,9
752,2022,7,11
753,2022,7,12
754,2022,7,13
755,2022,7,14
756,2022,7,15
757,2022,7,16
758,2022,7,17
759,2022,7,18
760,2022,7,19
762,2022,7,21
764,2022,7,23
768,2022,7,27
769,2022,7,28
771,2022,7,30
772,2022,7,31
773,2022,6,1
774,2022,6,2
777,2022,6,5
778,2022,6,6
779,2022,6,7
780,2022,6,8
781,2022,6,9
782,2022,6,10
784,2022,6,12
786,2022,6,14
787,2022,6,15
789,2022,6,17
790,2022,6,18
791,2022,6,19
793,2022,6,21
794,2022,6,22
796,2022,6,24
798,2022,6,26
799,2022,6,27
800,2022,6,28
801,2022,6,29
802,2022,6,30
803,2022,5,1
804,2022,5,2
805,2022,5,3
807,2022,5,5
808,2022,5,6
810,2022,5,8
811,2022,5,9
812,2022,5,10
814,2022,5,12
815,2022,5,13
816,2022,5,14
817,2022,5,15
819,2022,5,17
820,2022,5,18
822,2022,5,20
823,2022,5,21
824,2022,5,22
826,2022,5,24
828,2022,5,26
829,2022,5,27
830,2022,5,28
831,2022,5,29
832,2022,5,30
833,2022,5,31
834,2022,4,1
835,2022,4,2
836,2022,4,3
837,2022,4,4
838,2022,4,5
840,2022,4,7
841,2022,4,8
842,2022,4,9
843,2022,4,10
845,2022,4,12
846,2022,4,13
847,2022,4,14
848,2022,4,15
855,2022,4,22
857,2022,4,24
859,2022,4,26
860,2022,4,27
861,2022,4,28
862,2022,4,29
864,2022,3,1
867,2022,3,4
869,2022,3,6
871,2022,3,8
872,2022,3,9
875,2022,3,12
876,2022,3,13
877,2022,3,14
879,2022,3,16
880,2022,3,17
881,2022,3,18
882,2022,3,19
883,2022,3,20
884,2022,3,21
886,2022,3,23
887,2022,3,24
889,2022,3,26
890,2022,3,27
893,2022,3,30
895,2022,2,1
896,2022,2,2
897,2022,2,3
898,2022,2,4
899,2022,2,5
901,2022,2,7
902,2022,2,8
906,2022,2,12
907,2022,2,13
908,2022,2,14
909,2022,2,15
910,2022,2,16
911,2022,2,17
912,2022,2,18
913,2022,2,19
915,2022,2,21
916,2022,2,22
917,2022,2,23
919,2022,2,25
920,2022,2,26
922,2022,2,28
925,2022,1,3
927,2022,1,5
928,2022,1,6
930,2022,1,8
931,2022,1,9
932,2022,1,10
933,2022,1,11
934,2022,1,12
935,2022,1,13
936,2022,1,14
937,2022,1,15
938,2022,1,16
939,2022,1,17
940,2022,1,18
941,2022,1,19
942,2022,1,20
943,2022,1,21
944,2022,1,22
945,2022,1,23
946,2022,1,24
947,2022,1,25
948,2022,1,26
949,2022,1,27
950,2022,1,28
951,2022,1,29
953,2022,1,31
954,2021,12,9
957,2021,12,12
958,2021,12,13
959,2021,12,14
960,2021,12,15
961,2021,12,16
965,2021,12,20
966,2021,12,21
967,2021,12,22
968,2021,12,23
969,2021,12,24
970,2021,12,25
971,2021,12,26
972,2021,12,27
973,2021,12,28
974,2021,12,29
980,2021,11,12
981,2021,11,13
984,2021,11,24
986,2021,10,2
987,2021,10,3
988,2021,10,4
989,2021,10,5
990,2021,10,6
991,2021,10,7
992,2021,10,8
993,2021,10,9
995,2021,10,11
996,2021,10,12
997,2021,10,13
998,2021,10,14
999,2021,10,15
1000,2021,10,16
1002,2021,10,18
1003,2021,10,19
1006,2021,10,22
1008,2021,10,24
1009,2021,10,25
1010,2021,10,26
1011,2021,10,27
1012,2021,10,28
1013,2021,10,29
1014,2021,10,30
1015,2021,10,31
1016,2021,9,1
1018,2021,9,3
1020,2021,9,5
1021,2021,9,6
1022,2021,9,7
1023,2021,9,8
1024,2021,9,9
1026,2021,9,11
1027,2021,9,12
1028,2021,9,13
1029,2021,9,14
1030,2021,9,15
1031,2021,9,16
1032,2021,9,17
1033,2021,9,18
1035,2021,9,20
1037,2021,9,22
1038,2021,9,23
1039,2021,9,24
1040,2021,9,25
1044,2021,9,29
1047,2021,8,2
1048,2021,8,3
1049,2021,8,4
1050,2021,8,5
1051,2021,8,6
1053,2021,8,8
1054,2021,8,9
1055,2021,8,10
1056,2021,8,11
1058,2021,8,13
1060,2021,8,15
1061,2021,8,16
1062,2021,8,17
1066,2021,8,21
1068,2021,8,23
1070,2021,8,25
1071,2021,8,26
1072,2021,8,27
1073,2021,8,28
1077,2021,7,1
1078,2021,7,2
1079,2021,7,3
1080,2021,7,4
1083,2021,7,7
1084,2021,7,8
1086,2021,7,10
1090,2021,7,14
1091,2021,7,15
1092,2021,7,16
1093,2021,7,17
1094,2021,7,18
1095,2021,7,19
1096,2021,7,20
1097,2021,7,21
1098,2021,7,22
1099,2021,7,23
1100,2021,7,24
1101,2021,7,25
1102,2021,7,26
1103,2021,7,27
1104,2021,7,28
1105,2021,7,29
1106,2021,7,30
1107,2021,7,31
1108,2021,6,1
1110,2021,6,3
1111,2021,6,4
1113,2021,6,6
1115,2021,6,8
1116,2021,6,9
1117,2021,6,10
1118,2021,6,11
1119,2021,6,12
1121,2021,6,14
1122,2021,6,15
1123,2021,6,16
1124,2021,6,17
1126,2021,6,19
1127,2021,6,20
1128,2021,6,21
1130,2021,6,23
1131,2021,6,24
1132,2021,6,25
1134,2021,6,27
1135,2021,6,28
1137,2021,6,30
1138,2021,5,1
1139,2021,5,2
1140,2021,5,3
1143,2021,5,6
1144,2021,5,7
1146,2021,5,9
1147,2021,5,10
1148,2021,5,11
1150,2021,5,13
1151,2021,5,14
1152,2021,5,15
1153,2021,5,16
1157,2021,5,20
1160,2021,5,23
1161,2021,5,24
1162,2021,5,25
1163,2021,5,26
1165,2021,5,28
1166,2021,5,29
1167,2021,5,30
1168,2021,5,31
1169,2021,4,1
1172,2021,4,4
1175,2021,4,7
1176,2021,4,8
1178,2021,4,10
1179,2021,4,11
1182,2021,4,14
1186,2021,4,18
1187,2021,4,19
1188,2021,4,20
1189,2021,4,21
1191,2021,4,23
1193,2021,4,25
1195,2021,4,27
1197,2021,4,29
1199,2021,3,1
1200,2021,3,2
1201,2021,3,3
1202,2021,3,4
1203,2021,3,5
1204,2021,3,6
1206,2021,3,8
1207,2021,3,9
1208,2021,3,10
1209,2021,3,11
1212,2021,3,14
1213,2021,3,15
1214,2021,3,16
1217,2021,3,19
1219,2021,3,21
1220,2021,3,22
1221,2021,3,23
1223,2021,3,25
1224,2021,3,26
1226,2021,3,28
1228,2021,3,30
1230,2021,2,1
1231,2021,2,2
1232,2021,2,3
1233,2021,2,4
1234,2021,2,5
1235,2021,2,6
1236,2021,2,7
1237,2021,2,8
1238,2021,2,9
1239,2021,2,10
1240,2021,2,11
1241,2021,2,12
1242,2021,2,13
1243,2021,2,14
1244,2021,2,15
1245,2021,2,16
1246,2021,2,17
1247,2021,2,18
1248,2021,2,19
1249,2021,2,20
1250,2021,2,21
1251,2021,2,22
1252,2021,2,23
1253,2021,2,24
1254,2021,2,25
1255,2021,2,26
1256,2021,2,27
1257,2021,2,28
1261,2021,1,4
1262,2021,1,5
1263,2021,1,6
1268,2021,1,11
1270,2021,1,13
1271,2021,1,14
1272,2021,1,15
1273,2021,1,16
1274,2021,1,17
1275,2021,1,18
1276,2021,1,19
1277,2021,1,20
1281,2021,1,24
1282,2021,1,25
1283,2021,1,26
1284,2021,1,27
1286,2021,1,29
1287,2021,1,30
1288,2021,1,31
1289,2020,12,1
1290,2020,12,2
1293,2020,12,5
1294,2020,12,6
1295,2020,12,7
1296,2020,12,8
1298,2020,12,10
1299,2020,12,11
1301,2020,12,13
1303,2020,12,15
1305,2020,12,17
1306,2020,12,18
1307,2020,12,19
1308,2020,12,20
1309,2020,12,21
1310,2020,12,22
1311,2020,12,23
1313,2020,12,25
1316,2020,12,28
1317,2020,12,29
1318,2020,12,30
1320,2020,11,1
1322,2020,11,3
1324,2020,11,5
1325,2020,11,6
1328,2020,11,9
1330,2020,11,11
1331,2020,11,12
1332,2020,11,13
1333,2020,11,14
1335,2020,11,16
1337,2020,11,18
1338,2020,11,19
1339,2020,11,20
1343,2020,11,24
1344,2020,11,25
1348,2020,11,29
1349,2020,11,30
1350,2020,10,8
1351,2020,10,10
1352,2020,10,11
1353,2020,10,12
1354,2020,10,13
1355,2020,10,14
1356,2020,10,15
1357,2020,10,16
1358,2020,10,17
1359,2020,10,18
1360,2020,10,19
1361,2020,10,20
1362,2020,10,21
1363,2020,10,22
1364,2020,10,23
1365,2020,10,24
1367,2020,10,26
1368,2020,10,27
1369,2020,10,28
1370,2020,10,29
1371,2020,10,30
1374,2020,9,10
1376,2020,9,14
1377,2020,9,21
1379,2020,8,1
1380,2020,8,2
1381,2020,8,3
1382,2020,8,4
1383,2020,8,5
1384,2020,8,6
1385,2020,8,7
1386,2020,8,8
1387,2020,8,9
1388,2020,8,10
1389,2020,8,11
1390,2020,8,12
1394,2020,7,1
1395,2020,7,2
1396,2020,7,3
1398,2020,7,5
1399,2020,7,6
1400,2020,7,7
1402,2020,7,9
1403,2020,7,10
1404,2020,7,11
1405,2020,7,12
1407,2020,7,14
1408,2020,7,15
1409,2020,7,16
1410,2020,7,17
1411,2020,7,18
1412,2020,7,19
1413,2020,7,20
1414,2020,7,21
1416,2020,7,23
1421,2020,7,28
1422,2020,7,29
1423,2020,7,30
1424,2020,7,31
1426,2020,6,2
1427,2020,6,3
1428,2020,6,4
1430,2020,6,11
1434,2020,6,15
1435,2020,6,16
1437,2020,6,18
1438,2020,6,19
1444,2020,6,25
1445,2020,6,26
1446,2020,6,27
1447,2020,6,28
1448,2020,6,29
1449,2020,6,30
1450,2020,4,1
1453,2020,4,4
1454,2020,4,5
1455,2020,4,6
1457,2020,4,8
1458,2020,4,9
1459,2020,4,10
1460,2020,4,11
1461,2020,4,12
1463,2020,4,14
1464,2020,4,15
1465,2020,4,16
1466,2020,4,17
1467,2020,4,18
1468,2020,4,19
1469,2020,4,20
1471,2020,4,22
1473,2020,4,24
1474,2020,4,25
1476,2020,4,27
1477,2020,4,28
1480,2020,3,1
1481,2020,3,2
1482,2020,3,3
1483,2020,3,4
1484,2020,3,5
1485,2020,3,6
1487,2020,3,8
1488,2020,3,9
1489,2020,3,10
1491,2020,3,12
1492,2020,3,13
1493,2020,3,14
1494,2020,3,15
1495,2020,3,16
1496,2020,3,17
1497,2020,3,18
1498,2020,3,19
1499,2020,3,20
1500,2020,3,21
1503,2020,3,24
1504,2020,3,25
1505,2020,3,26
1507,2020,3,28
1508,2020,3,29
1509,2020,3,30
1510,2020,3,31
1511,2020,2,1
1512,2020,2,2
1513,2020,2,3
1514,2020,2,4
1515,2020,2,5
1516,2020,2,6
1517,2020,2,7
1518,2020,2,8
1519,2020,2,9
1520,2020,2,10
1522,2020,2,12
1523,2020,2,13
1524,2020,2,14
1525,2020,2,15
1527,2020,2,17
1528,2020,2,18
1530,2020,2,20
1531,2020,2,21
1532,2020,2,22
1533,2020,2,23
1534,2020,2,24
1535,2020,2,25
1536,2020,2,26
1537,2020,2,27
1538,2020,2,28
1539,2020,2,29
1540,2020,1,1
1541,2020,1,2
1542,2020,1,3
1543,2020,1,4
1544,2020,1,5
1546,2020,1,7
1547,2020,1,8
1548,2020,1,9
1549,2020,1,10
1550,2020,1,11
1552,2020,1,13
1553,2020,1,14
1554,2020,1,15
1555,2020,1,16
1556,2020,1,17
1557,2020,1,18
1558,2020,1,19
1559,2020,1,20
1561,2020,1,22
1562,2020,1,23
1563,2020,1,24
1564,2020,1,25
1565,2020,1,26
1567,2020,1,28
1569,2020,1,30
1570,2020,1,31
1572,2023,2,10
1576,2023,1,11
1581,2022,12,2
1743,2020,9,19
1748,2020,8,15
1758,2020,5,20
1891,2023,2,4
1895,2023,1,13
1902,2023,1,31
1906,2022,12,13
1909,2022,12,19
1910,2022,12,29
1928,2022,10,31
1968,2021,12,2
2050,2020,8,29
2057,2020,6,5
2058,2020,6,8
2067,2020,5,4
2068,2020,5,5
2069,2020,5,6
2073,2020,5,13
2079,2020,5,30
2216,2020,9,1
2219,2020,9,12
2223,2020,8,26
2237,2020,5,1
2254,2023,2,5
2406,2020,9,4
2426,2020,6,6
2438,2020,5,2
2439,2020,5,3
2447,2020,5,26
2638,2020,10,3
2667,2020,5,29
2688,2021,11,3
2692,2021,11,11
2695,2021,11,14
2696,2021,11,15
2697,2021,11,16
2700,2021,11,19
2701,2021,11,20
2703,2021,11,22
2706,2021,11,25
2707,2021,11,26
2709,2021,11,28
2710,2021,11,29
2711,2021,11,30
2783,2020,10,2
2790,2020,9,8
2799,2020,8,22
2800,2020,8,28
2821,2020,5,21
3003,2020,10,1
3059,2023,1,14
3065,2023,1,28
3204,2020,10,7
3219,2020,8,16
3220,2020,8,20
3239,2020,5,16
3272,2022,12,9
3511,2021,12,7
3658,2023,1,17
3667,2022,12,14
3683,2022,10,26
3824,2020,6,7
4056,2023,1,21
4225,2020,5,19
4463,2023,2,9
4481,2022,11,9
4483,2022,11,11
4487,2022,11,15
5132,2021,12,1
5134,2021,12,3
5135,2021,12,4
5136,2021,12,5
5137,2021,12,6
5139,2021,12,8
5168,2021,11,6
5170,2021,11,8
5365,2020,10,4
5366,2020,10,5
5367,2020,10,6
5370,2020,10,9
5393,2020,9,2
5402,2020,9,27
5403,2020,9,28
5404,2020,9,29
6973,2022,11,3
7194,2020,5,24
7195,2020,5,25
7218,2023,2,6
7222,2023,2,11
7230,2023,2,22
7231,2023,2,23
7232,2023,2,26
7236,2023,1,4
7238,2023,1,6
7239,2023,1,10
7244,2023,1,18
7253,2023,1,27
7268,2022,12,12
7277,2022,12,22
7279,2022,12,24
7285,2022,11,1
7286,2022,11,2
7290,2022,11,6
7303,2022,11,20
7304,2022,11,21
7305,2022,11,22
7306,2022,11,23
7337,2022,10,27
7338,2022,10,28
7835,2020,9,7
7843,2020,9,20
7859,2020,8,18
7860,2020,8,19
7864,2020,8,25
7923,2020,5,9
7927,2020,5,14
7928,2020,5,15
7931,2020,5,18
9142,2020,6,9
9157,2020,5,7
9162,2020,5,12
9181,2020,5,31
11451,2022,11,26
11573,2020,9,9
